"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.cluster_id","Input.cluster_rep","Input.index_intruder_in_df","Input.title_intruder","Input.community_intruder","Input.intruder_rank","Input.in_test_intruder_location","Input.index_0","Input.sentence_0_text","Input.index_1","Input.sentence_1_text","Input.index_2","Input.sentence_2_text","Input.index_3","Input.sentence_3_text","Input.index_4","Input.sentence_4_text","Input.index_5","Input.sentence_5_text","Input.index_6","Input.sentence_6_text","Input.index_7","Input.sentence_7_text","Input.index_8","Input.sentence_8_text","Input.index_9","Input.sentence_9_text","Answer.answers.0","Answer.answers.1","Answer.answers.2","Answer.answers.3","Answer.answers.4","Answer.answers.5","Answer.answers.6","Answer.answers.7","Answer.answers.8","Answer.answers.9","Answer.description","Approve","Reject"
"3XH7ZM9YX4BCJ2FC8NHQFNM2W6H9RN","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:21 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:21 PST 2023","","","3VHP9MDGRQ1K0UF0JFWPO85JS9ZFC3","A2FV0CMG9S8CU0","Approved","Tue Dec 05 15:15:53 PST 2023","Tue Dec 05 15:16:05 PST 2023","Fri Dec 08 15:16:05 PST 2023","Fri Dec 08 15:16:09 PST 2023","","","12","100% (70011/70011)","100% (151/151)","100% (150/150)","19","Governing Law","13259","Section 2.02 Receipt of and Payment for Equipment.","4","6.0","5","3655","22.4 
Governing Law.","2183","19.4  
LICENSES, PERMITS, ETC.","12142","15.7Compliance with Laws.","7774","12.3 
Jurisdiction.","12797","25. 
Choice of Law.","13259","Section 2.02 Receipt of and Payment for Equipment.","2247","14. GENERAL PROVISIONS 
14.

1 Governing Law.","12298","13.5 
Governing Law; Jurisdiction; Waiver of Jury Trial.","4511","8.05  
GOVERNING  LAW.","12489","Page of 7 of Sponsorship Agreement 
17.

Governing Law and Venue.","false","false","false","false","false","true","false","false","false","false","Governing Law"
"3ZCC2DXSD9L0H4Z6UU10M08Q82GYY2","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:21 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:21 PST 2023","","","3KB8R4ZV1HO74PJPGZ6CV9ZDB3ZGBW","A2FV0CMG9S8CU0","Approved","Tue Dec 05 15:28:41 PST 2023","Tue Dec 05 15:28:59 PST 2023","Fri Dec 08 15:28:59 PST 2023","Fri Dec 08 15:29:09 PST 2023","","","18","100% (70011/70011)","100% (151/151)","100% (150/150)","5","C Entire Agreement","3932","Wages include expenses for VP – Operations.","-1","","8","2511","Article XV.

Miscellaneous 
Entire Agreement.","6839","12 
ARTICLE V EXCLUDED AGREEMENTS","9878","12.3.
 Entire Agreement.","7423","14. [Intentionally Omitted.] 
15.","2000","17.15 Entire Agreement.","13161","Entire Agreement; Counterparts.","13077","8.5
 Entire Agreement.","12424","17. 
Authority to Contract.","3932","Wages include expenses for VP – Operations.","6792","16. ENTIRE AGREEMENT.","false","false","false","false","false","false","false","true","true","false","Agreement"
"3BAKUKE49JTUUXCH4A2X0H4JYUT1R6","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:21 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Wed Dec 13 14:15:27 PST 2023","","","3L2IS5HSFDZSAG9H3U02QJ0Y2BDUN7","A2DXSNQM308NHW","Submitted","Wed Dec 13 08:56:20 PST 2023","Wed Dec 13 08:56:32 PST 2023","Sat Dec 16 08:56:32 PST 2023","","","","12","100% (2/2)","100% (2/2)","100% (2/2)","13","Lifeway Foods Inc Ludmila Smolyansky By S Julie Smolyansky By S","5846","reporting services.","-1","","0","5846","reporting services.","9436","KIOSK CONCEPTS, INC.:","1434","Vin Thomas 
E-Mail: vinthomas@curo.com","106","By: /s/","10597","Glu Mobile, Inc.","1747","By: /s/","12807","By: /s/","4109","Chandra Torrence 
Telephone:

[***] 
Email:","8971","John Madden 
Name:","12006","S.K. Vereschagin NAME:

Jeff Yelton 
TITLE: Director, Finance TITLE:","false","false","false","true","false","true","true","false","false","false","BY"
"32CAVSKPCG6MAP4Y84X25SR35TWU12","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:21 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:21 PST 2023","","","34QN5IT0T28RRNAXZLXZJFMWWGP80M","A2FV0CMG9S8CU0","Approved","Tue Dec 05 15:19:37 PST 2023","Tue Dec 05 15:19:53 PST 2023","Fri Dec 08 15:19:53 PST 2023","Fri Dec 08 15:20:09 PST 2023","","","16","100% (70011/70011)","100% (151/151)","100% (150/150)","8","Insurance And Indemnification","8604","that (i) Harpoon’s","-1","","6","8906","11. Indemnification.","11880","23.
 INDEMNITY.","5056","13.2
 Products, Services and Content.

(a)
 Women.com

Liability.","2034","8. Indemnification.

8.1 
By Licensor.","13028","2.6 Certain Claims","693","WHETHER EXPRESS OR IMPLIED, AND LICENSOR HEREBY DISCLAIMS

ANY AND ALL SUCH WARRANTIES.

9 
ARTICLE VIII INDEMNIFICATION 
8.1.

Indemnification by Licensor.","8604","that (i) Harpoon’s","5946","Representations, Warranties, and Covenants.","3650","Limitation of Liability 
18.","10831","13.5
 Liquidated Damages.","false","false","false","false","false","false","true","false","false","false","Indemnity"
"3H5TOKO3DB0I0DBGZ4I1NKKQERP46O","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:21 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:21 PST 2023","","","382M9COHEKWOGAW4AVXJ0W6PNAQEUX","A2FV0CMG9S8CU0","Approved","Fri Dec 08 05:46:45 PST 2023","Fri Dec 08 05:47:26 PST 2023","Mon Dec 11 05:47:26 PST 2023","Mon Dec 11 05:48:09 PST 2023","","","41","100% (70011/70011)","100% (151/151)","100% (150/150)","4","Payments Currency","7314","(a) General.","-1","","3","13003","1. 
Compensation.","3864","Interest.","8899","All payments shall be made in U.S. Dollars.","7314","(a) General.","1914","3.6 Taxes.","12498","2 
4. COMPENSATION","1325","HOSTING FEE.","7312","47 
9.5 
Payment Terms; Exchange Rate.","10025","2. 
Compensation and Expenses.","1097","5.  COMPENSATION.","false","false","false","true","false","false","false","false","false","false","Payment"
"3XD2A6FGFPBOKHFPNCHV5XRYI809SB","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:21 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:21 PST 2023","","","3KB8R4ZV1HO74PJPGZ6CV9ZDB3ZBGR","A2FV0CMG9S8CU0","Approved","Tue Dec 05 15:27:18 PST 2023","Tue Dec 05 15:27:27 PST 2023","Fri Dec 08 15:27:27 PST 2023","Fri Dec 08 15:28:09 PST 2023","","","9","100% (70011/70011)","100% (151/151)","100% (150/150)","15","Term And Termination","38","2.4 
Trademark License and Use.","0","8.0","1","9848","6.3 
Effect of Termination.","38","2.4 
Trademark License and Use.","9123","Effect of Termination.","7077","TERM AND TERMINATION 
3.1","2238","11. TERM AND TERMINATION 
11.1 Term.","3910","14.4. 
Effect of Termination.","10046","6.3.
Termination for Breach.

(a)
By Licensor.","4459","ARTICLE 4.

TERM AND TERMINATION 
4.1.

Term.","7330","(c) 
Termination for Insolvency.","1173","15.3 Effect of Termination.","false","true","false","false","false","false","false","false","false","false","Termination"
"3BJKPTD2QETV3HOQ6TM76NNEQDJRT4","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:22 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:22 PST 2023","","","3HYA4D452U072CNYMM7JCVWXGKLF2X","A2FV0CMG9S8CU0","Approved","Fri Dec 08 05:59:16 PST 2023","Fri Dec 08 06:00:08 PST 2023","Mon Dec 11 06:00:08 PST 2023","Mon Dec 11 06:00:09 PST 2023","","","52","100% (70011/70011)","100% (151/151)","100% (150/150)","14","Financial Records Audits","9880","12.5.
 Severability.","7","13.0","5","2682","6.  
Filing of Reports by PSS.","9529","Section 7.5  BOOKS AND RECORDS.","12153","(h)Financial Statements.","11104","Fed ABA 


026009593 
7 
8.06.","4388","15.  ACCOUNTING, REPORTS AND FINANCIAL STATEMENTS.

15.A.  ESTABLISHMENT OF ACCOUNTING SYSTEM.","9880","12.5.
 Severability.","9948","(c)  
Records.","5216","8. BOOKS, RECORDS AND RIGHT OF AUDIT.","11672","6.2 Financial Statements.","8863","(d) 
Security Audit","false","false","false","false","false","true","false","false","false","false","Financial Statements"
"307FVKVSYTW14DPLIENTTYKM92947N","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:22 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Wed Dec 13 14:15:27 PST 2023","","","3PXX5PX6L0F6UY6MUZE2ZNOAEJ7ABM","A2DXSNQM308NHW","Submitted","Wed Dec 13 08:52:35 PST 2023","Wed Dec 13 08:53:08 PST 2023","Sat Dec 16 08:53:08 PST 2023","","","","33","100% (2/2)","100% (2/2)","100% (2/2)","2","Distributor Personnel","11577","RM: 64 Megs 
     .

HDD: 1.2 GB     .

Video.","-1","","7","576","internet Back office Maintenance And Deployment of medical Service.

Term 
4.","2986","(e) 
Acceptable Forecast Variance.","214","5.10 
Manufacturing; Distribution; Marketing.","6560","8 
4.7 Equipment and Supplies.","10110","3.  EXCLUSIVITY 
      3.1 Exclusivity Period.","3063","as indicated below.","1214","4.2 
Development Reporting.","11577","RM: 64 Megs 
     .

HDD: 1.2 GB     .

Video.","12816","5. Additional Titles.","747","3. CONSULTING SERVICES.","true","false","true","false","false","false","true","false","false","true","MARKETING"
"37VHPF5VYEK8ZV7JLYLHQWS5CZWC8V","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:22 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 12 14:15:22 PST 2023","","","3QY7M81QHA3P4ZCIT9FBOZ5AZUO7K3","A2FV0CMG9S8CU0","Approved","Tue Dec 05 14:29:15 PST 2023","Tue Dec 05 14:29:33 PST 2023","Fri Dec 08 14:29:33 PST 2023","Fri Dec 08 14:30:09 PST 2023","","","18","100% (70011/70011)","100% (151/151)","100% (150/150)","15","Term And Termination","1136","2.7 
No Other Rights.","-1","","0","1136","2.7 
No Other Rights.","12114","11.3Effect of Termination.","11954","AGREEMENT TERMINATION.

5.1 
Termination for Cause.","2409","4. AMENDMENT OF TERMINATION PROVISIONS.","13316","10 
Termination for Insolvency or Bankruptcy.","1717","3. EFFECTIVE DATE AND DURATION","12487","OR WILLFUL BREACH OF THIS AGREEMENT.

15. 
Survival.","6546","8.4Subsection 8.1 shall survive the termination of this Agreement.","5887","Termination.","12818","7. Term and Termination.","true","false","false","false","false","false","false","false","false","false","Termination"
"32TMVRKDGPF54RU4SJFZ7YGHKMF48A","3Z3XOBWUCT4BO3A3FMTGRK1ESL6GRE","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 05 14:15:22 PST 2023","1","BatchId:5164564;OriginalHitTemplateId:928390905;","3600","259200","Wed Dec 13 14:15:27 PST 2023","","","3TK8OJTYM42SQGAUOZNZQU7CGXNVPT","A2DXSNQM308NHW","Submitted","Wed Dec 13 08:54:44 PST 2023","Wed Dec 13 08:54:58 PST 2023","Sat Dec 16 08:54:58 PST 2023","","","","14","100% (2/2)","100% (2/2)","100% (2/2)","5","C Entire Agreement","3478","2.0 Definitions 
2.1 
Affiliate.","-1","","4","11697","9.8 Entirety of Agreement, Amendments.","7679","13.9 
Entire Agreement; Amendment.","393","12. Miscellaneous.

a. 
Entire Agreement.","13387","ARTICLE 18 - ASSIGNMENT BY NVOS 
18.1","3478","2.0 Definitions 
2.1 
Affiliate.","6155","9.12  
Entire Agreement.","6441","14.
10  COMPLETE UNDERSTANDING.","6680","11. Conditions Precedent","4136","c) 


Returns form to Project Administrator.","2369","8. FURTHER ASSURANCES","true","true","false","false","false","true","false","false","false","false","Entire"
