"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.cluster_id","Input.cluster_rep","Input.index_intruder_in_df","Input.title_intruder","Input.community_intruder","Input.intruder_rank","Input.in_test_intruder_location","Input.index_0","Input.sentence_0_text","Input.index_1","Input.sentence_1_text","Input.index_2","Input.sentence_2_text","Input.index_3","Input.sentence_3_text","Input.index_4","Input.sentence_4_text","Input.index_5","Input.sentence_5_text","Input.index_6","Input.sentence_6_text","Input.index_7","Input.sentence_7_text","Input.index_8","Input.sentence_8_text","Input.index_9","Input.sentence_9_text","Answer.answers.0","Answer.answers.1","Answer.answers.2","Answer.answers.3","Answer.answers.4","Answer.answers.5","Answer.answers.6","Answer.answers.7","Answer.answers.8","Answer.answers.9","Answer.description","Approve","Reject"
"3ZG552ORAOLTCPBUWY7L6X3RB7E2VD","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:50 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:50 PST 2023","","","3WMOAN2SREESNVYH8KA7M52HGGGNVF","A121BA8K0UHGWQ","Submitted","Tue Dec 12 07:27:34 PST 2023","Tue Dec 12 07:43:47 PST 2023","Fri Dec 15 07:43:47 PST 2023","","","","973","100% (102/102)","100% (102/102)","100% (100/100)","25","Interest Income","23037","COMPANY: EXECUTIVE:","-1","","0","23037","COMPANY: EXECUTIVE:","28753","Minority Interests in Earnings.","12701","Inflation.","24667","19. Interest on Past-Due Obligations.","25830","Losses on Early Extinguishment of Debt.","7104","Disbursements

1.","28230","INCOME TAXES (Continued)","11028","Capital Markets.","1000","Capital Commitments.","7289","Accumulated Other Comprehensive Loss","true","false","false","false","false","false","false","false","false","false","FINANCIAL DATA"
"3P7RGTLO6GU41HCMA9MTA6B87XZAK6","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:50 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:50 PST 2023","","","3PZDLQMM0W20Z03OVKHI4PBUKE9C2E","A121BA8K0UHGWQ","Submitted","Tue Dec 12 07:17:05 PST 2023","Tue Dec 12 07:23:43 PST 2023","Fri Dec 15 07:23:43 PST 2023","","","","398","100% (102/102)","100% (102/102)","100% (100/100)","13","Certain Relationships And Related Transactions","4520","MAIL ADDRESS: STREET 1:		3434","-1","","0","4520","MAIL ADDRESS: STREET 1:		3434","4884","L. Related Party Transactions.","59","Item 13 Certain Relationships and Related Transactions, and Director Independence.

","25315","ITEM 13 Certain Relationships and Related Transactions.

(a) Transactions with management and others.","12457","ITEM 13 CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS, AND DIRECTOR INDEPENDENCE.","5190","ITEM 13 CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS.

AND DIRECTOR INDEPENDENCE.","27078","Item 13 Certain Relationships and Related Transactions, and Director Independence.","17970","Item 13 Certain Relationships and Related Transactions, and Director Independence.","26547","ITEM 13 CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS, AND DIRECTOR INDEPENDENCE.","24325","Item 13 Certain Relationships and Related Transactions, and Director Independence.","true","true","false","false","false","false","false","false","false","false","CERTAIN RELATIONSHIPS"
"3J6BHNX0UB9BL06BJDRYWCV864YKN0","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:50 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:50 PST 2023","","","32Z9ZLUT1O15NF394ATGMTBDYB6OH1","A121BA8K0UHGWQ","Submitted","Tue Dec 12 06:19:31 PST 2023","Tue Dec 12 06:50:27 PST 2023","Fri Dec 15 06:50:27 PST 2023","","","","1856","100% (102/102)","100% (102/102)","100% (100/100)","25","Interest Income","24165","Shareholder Derivative Litigation , Case No.

CIV 499030 ( the Consolidated Action ).","-1","","6","23215","Operating Expenses.","7699","Asset Retirement Obligations and Environmental Clean-up Costs.","23139","Property Operating Expenses.","21736","Revenue Recognition.","12236","Mortgage Payments

1.","16876","Deferred Tax Assets","24165","Shareholder Derivative Litigation , Case No.

CIV 499030 ( the Consolidated Action ).","9220","Equity Investments.","17062","Investing Activities.","9537","INTANGIBLE ASSETS-","false","false","false","false","false","false","true","false","false","true","EXPENSES"
"3NSCTNUR2141JYRJ3MIN8HSQA745AG","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","3DIP6YHAPF9QIDPR7SWE44O0RQD8E5","A121BA8K0UHGWQ","Submitted","Tue Dec 12 07:02:10 PST 2023","Tue Dec 12 07:03:48 PST 2023","Fri Dec 15 07:03:48 PST 2023","","","","98","100% (102/102)","100% (102/102)","100% (100/100)","1","Legal Proceedings","3832","Yes","30","16.0","1","698","ITEM 3 LEGAL PROCEEDINGS.","3832","Yes","19924","Item 3 Legal Proceedings.","16595","Item 3 L eg al Proceedings.","5145","Item 3 Legal Proceedings.","3243","ITEM 3 LEGAL PROCEEDINGS.","29641","ITEM 3 LEGAL PROCEEDINGS.","3890","ITEM 3 LEGAL PROCEEDINGS.","26957","ITEM 3 LEGAL PROCEEDINGS.","7395","Item 3 Legal Proceedings.","false","true","false","false","false","false","false","false","false","false","LEGAL PROCEEDINGS"
"3NZ1E5QA61I628WB90IJ3SCWSPP5BB","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","39O5D9O87W9PKIZ7ZKVNNZGMQS9C3P","A121BA8K0UHGWQ","Submitted","Tue Dec 12 07:17:08 PST 2023","Tue Dec 12 07:24:54 PST 2023","Fri Dec 15 07:24:54 PST 2023","","","","466","100% (102/102)","100% (102/102)","100% (100/100)","2","B Other Information","6374","Money Market Loan.","-1","","7","1754","ITEM 9B OTHER INFORMATION.","10985","Item 9B OTHER INFORMATION.","12000","NINTH:","9467","Item 9B

Other Information.","7921","ITEM 9B OTHER INFORMATION.","20429","Item 9B

Other Information.","29804","Item 9B","6374","Money Market Loan.","11856","Item 9B

Other Information.","18696","MISCELLANEOUS.","false","false","true","false","false","false","false","true","false","false","OTHER INFORMATION"
"3TX9T2ZCBBIWXPEBBFLVFAWC3PEZWR","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","33LKR6A5KH1AWWN3Y2CUOG1TGUU1T4","A39RLF85DE3UIT","Submitted","Tue Dec 12 07:04:56 PST 2023","Tue Dec 12 07:08:41 PST 2023","Fri Dec 15 07:08:41 PST 2023","","","","225","100% (110/110)","100% (110/110)","0% (0/0)","16","Service Providers","174","Item 11 Executive Compensation

The information required by this item will be set forth in the 2005 Proxy Statement under the caption ""Executive Compensation and Other Matters,"" and is incorporated herein by reference.

Item 12 Security Ownership of Certain Beneficial Owners and Management

Information related to security ownership of certain beneficial owners and management will be set forth in the 2005 Proxy Statement under the caption ""Security Ownership of Management and Principal Stockholders,"" and is incorporated herein by reference.","9","7.0","9","21958","Large Market Opportunity for Payroll and HCM Solutions","21419","Sales and Marketing.","4232","Supply Agreements.","24092","ANIMAL HEALTH PRODUCT DEVELOPMENT PROGRAM","8435","Network Description.","8687","Telemarketing.","28285","Dodd Frank Wall Street Reform and Consumer Protection Act.","11208","CONSUMER.","30036","Goodwill.","174","Item 11 Executive Compensation

The information required by this item will be set forth in the 2005 Proxy Statement under the caption ""Executive Compensation and Other Matters,"" and is incorporated herein by reference.

Item 12 Security Ownership of Certain Beneficial Owners and Management

Information related to security ownership of certain beneficial owners and management will be set forth in the 2005 Proxy Statement under the caption ""Security Ownership of Management and Principal Stockholders,"" and is incorporated herein by reference.","true","true","true","true","true","true","true","true","true","true","good"
"3A9LA2FRWUVPV4J7FYBAHM6EG14HXD","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","3M23Y66PO5O4OIBLF8JL97WOMMQS6Y","A121BA8K0UHGWQ","Submitted","Tue Dec 12 05:43:18 PST 2023","Tue Dec 12 05:57:14 PST 2023","Fri Dec 15 05:57:14 PST 2023","","","","836","100% (102/102)","100% (102/102)","100% (100/100)","9","Security Ownership Of Certain Beneficial Owners And Management And Related Security Holder Matters A","10390","Recently Issued Accounting Standards","6","23.0","9","15115","ITEM 12 SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT.","24561","Item 12 SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT.","13664","Item 12 Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters.","2514","Item 12 Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters.

","24908","Item 12 Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters.","25413","Item 12 Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters.","9323","ITEM 12 SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT AND RELATED STOCKHOLDER MATTERS.","19974","ITEM 12 SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT AND RELATED STOCKHOLDER MATTERS.","10988","Item 12 SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS, AND MANAGEMENT AND RELATED SHAREHOLDER MATTERS

Information with respect to security ownership of certain beneficial owners and management is set forth under the headings Security Ownership of Certain Beneficial Owners and Management and Equity Compensation Plan Information in our Proxy Statement, and is incorporated herein by this reference thereto.

Item 13 CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS.","10390","Recently Issued Accounting Standards","false","false","false","false","false","false","false","false","false","true","SECURITY OWNERSHIP"
"3UQ1LLR26CPFLNU4V9YUP6ONWX4AL9","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","32VNZTT0AALE8G7UHVQ1MZ7E4T8R4V","A121BA8K0UHGWQ","Submitted","Tue Dec 12 07:27:41 PST 2023","Tue Dec 12 07:46:12 PST 2023","Fri Dec 15 07:46:12 PST 2023","","","","1111","100% (102/102)","100% (102/102)","100% (100/100)","27","Table","18060","Item 11 Executive Compensation.","11","4.0","7","11687","/TABLE>","4407","<TABLE>","29277","<TABLE>","20561","<TABLE>","8178","<TABLE>","8905","<TABLE>","4857","<TABLE>","18060","Item 11 Executive Compensation.","23606","<TABLE>","23119","E-5

</TEXT> </DOCUMENT> <","true","false","false","false","false","false","false","true","false","false","NONE"
"3KWGG5KP6LJNKK9NFZV0VET0W5FCMF","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","32M8BPYGAW3HRXXVM9YTHW3Q72YGI3","A121BA8K0UHGWQ","Submitted","Tue Dec 12 07:27:40 PST 2023","Tue Dec 12 07:45:54 PST 2023","Fri Dec 15 07:45:54 PST 2023","","","","1094","100% (102/102)","100% (102/102)","100% (100/100)","30","Yes X","25416","PART IV

Item 15 Exhibits, Financial Statement Schedules.

(a) Documents filed as part of this report.","8","3.0","7","15818","Yes","7749","Yes X","14995","Yes","21016","Yes X","7547","YES","24303","Yes","18811","Yes R","25416","PART IV

Item 15 Exhibits, Financial Statement Schedules.

(a) Documents filed as part of this report.","17364","Yes","14777","Yes /X/","false","false","false","false","false","false","false","true","false","false","YES"
"3D06DR52270ZR5CPVLZ9PJ3CW2UAMB","3CUQ44BBWTR9F96XQUVUA3EK2L76Q7","Header Intrusion","This is the header intrusion task. You need to detect which of the 10 sentences does not belong to the group of other 9 sentences.","clustering, semantic, similarity, easy, NLP, qualification","$0.10","Tue Dec 12 02:53:51 PST 2023","1","BatchId:5166757;OriginalHitTemplateId:928390905;","3600","259200","Tue Dec 19 02:53:51 PST 2023","","","3IQ1VMJRYW1N65RPWF068HTKQHT9AW","A121BA8K0UHGWQ","Submitted","Tue Dec 12 06:05:33 PST 2023","Tue Dec 12 06:10:57 PST 2023","Fri Dec 15 06:10:57 PST 2023","","","","324","100% (102/102)","100% (102/102)","100% (100/100)","29","A Risk Factors","7884","Supervision and Regulation

General.","16","1.0","3","5996","Item 1A Risk Factors.","26726","Item 1A RISK FACTORS.","20400","Item 1A Risk Factors.","7884","Supervision and Regulation

General.","15823","ITEM 1A RISK FACTORS.","29786","See the Relief Letters.

Item 1A Risk Factors.","16411","ITEM 1A RISK FACTORS.","25897","Item 1A Risk Factors.","25747","ITEM 1A RISK FACTORS.","372","See ""Item 1A Risk Factors.","false","false","false","true","false","false","false","false","false","false","RISK FACTORS"
